route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
PKS,16,"PKS","ŻABINKO - POZNAŃ GŁÓWNY|POZNAŃ GŁÓWNY - ŻABINKO","ŻABINKO - Żabinko/Śremska - Mosina/Śremska - Mosina/Dworcowa - Mosina/Szosa Poznańska - Puszczykowo/Szosa Poznańska - Łęczyca/Poznańska - Luboń/Armii Poznań - Czechosłowacka - Wolne Tory - POZNAŃ GŁÓWNY^A - kurs do Mosina Dworzec Kolejowy^B - kurs do Dymaczewo Nowe ^Y - NA LINII NIE OBOWIĄZUJE TARYFA ZTM|POZNAŃ GŁÓWNY - Łozowa - Luboń/Armii Poznań - Łęczyca/Poznańska - Puszczykowo/Szosa Poznańska - Mosina/Szosa Poznańska - Mosina/Dworcowa - Mosina/Śremska - Żabinko/Śremska - ŻABINKO^A - kurs do Radzewice II^Y - NA LINII NIE OBOWIĄZUJE TARYFA ZTM",3,FFFFFF,000000
T7,2,"T7","MAŁE GARBARY - RONDO ŚRÓDKA|RONDO ŚRÓDKA - MAŁE GARBARY","MAŁE GARBARY - Estkowskiego - Wyszyńskiego - Jana Pawła II - RONDO ŚRÓDKA|RONDO ŚRÓDKA - Wyszyńskiego - Estkowskiego - MAŁE GARBARY",0,525252,FFFFFF
1,2,"1","JUNIKOWO - FRANOWO|FRANOWO - JUNIKOWO","JUNIKOWO - Grunwaldzka - Reymonta - Hetmańska - Żegrze - Chartowo - Piaśnicka - Szwajcarska - FRANOWO^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Nowaka-Jeziorańskiego^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka PKM) przez przystanek: Rondo Starołęka^p - kursuje tylko w piątki|FRANOWO - Piaśnicka - Chartowo - Żegrze - Hetmańska - Reymonta - Grunwaldzka - JUNIKOWO^A - kurs do  Budziszyńska^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Starołęka, Traugutta^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka PKM) przez przystanek: Rondo Starołęka^q - kurs tylko w poniedziałki^w - kursuje od wtorku do piątku",0,D0006F,FFFFFF
2,2,"2","DĘBIEC PKM - STAROŁĘKA PKM|STAROŁĘKA PKM - DĘBIEC PKM","DĘBIEC PKM - 28 Czerwca 1956 r. - Górna Wilda - Królowej Jadwigi - Krzywoustego - Jana Pawła II - Warczygłowy - Trasa Kórnicka - Chartowo - Żegrze - Hetmańska - Starołęcka - STAROŁĘKA PKM^F - zjazd do zajezdni Franowo przez przystanek: Kórnicka, Os. Lecha^G - zjazd do zajezdni Głogowska przez przystanek: Traugutta^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|STAROŁĘKA PKM - Hetmańska - Żegrze - Chartowo - Trasa Kórnicka - Warczygłowy - Jana Pawła II - Krzywoustego - Królowej Jadwigi - Górna Wilda - 28 Czerwca 1956 r. - DĘBIEC PKM^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,72C4E7,000000
3,2,"3","UNII LUBELSKIEJ - BŁAŻEJA|BŁAŻEJA - UNII LUBELSKIEJ","UNII LUBELSKIEJ - Unii Lubelskiej - Żegrze - Chartowo - Trasa Kórnicka - Warczygłowy - Kórnicka - Mostowa - pl. Bernardyński - Podgórna - Aleje Marcinkowskiego - 27 Grudnia - Fredry - Roosevelta - Pułaskiego - Winogrady - Przełajowa - Naramowicka - al. Praw Kobiet - BŁAŻEJA^F - zjazd do zajezdni Franowo przez przystanek: Os. Czecha^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Żegrze, Rondo Starołęka, Traugutta^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^W - kurs skrócony do przystanku: Włodarska|BŁAŻEJA - Naramowicka - Przełajowa - Winogrady - Pułaskiego - Roosevelta - Święty Marcin - Aleje Marcinkowskiego - Podgórna - pl. Bernardyński - Mostowa - Kórnicka - Warczygłowy - Trasa Kórnicka - Chartowo - Żegrze - Unii Lubelskiej - UNII LUBELSKIEJ^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Kaponiera, Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,8E364C,FFFFFF
4,2,"4","MAŁE GARBARY - POŁABSKA|POŁABSKA - MAŁE GARBARY","MAŁE GARBARY - Małe Garbary - pl. Wielkopolski - pl. Ratajskiego - Fredry - Roosevelta - Pułaskiego - Winogrady - Murawa - Aleje Solidarności - POŁABSKA^F - zjazd do zajezdni Franowo przez przystanek: Pl. Ratajskiego, Gwarna, Aleje Marcinkowskiego, Kórnicka, Os. Lecha^G - zjazd do zajezdni Głogowska przez przystanek: Most Teatralny, Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|POŁABSKA - Murawa - Winogrady - Pułaskiego - Fredry - pl. Ratajskiego - pl. Wielkopolski - Małe Garbary - MAŁE GARBARY^F - zjazd do zajezdni Franowo przez przystanek: Fredry, Aleje Marcinkowskiego, Kórnicka, Os. Lecha^G - zjazd do zajezdni Głogowska przez przystanek: Most Teatralny, Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,2E6A4C,FFFFFF
5,2,"5","ZAWADY - GÓRCZYN PKM|GÓRCZYN PKM - ZAWADY","ZAWADY - Podwale - Jana Pawła II - Kórnicka - Mostowa - pl. Bernardyński - Podgórna - Aleje Marcinkowskiego - 27 Grudnia - Gwarna - Święty Marcin - Towarowa - Matyi - Głogowska - GÓRCZYN PKM^F - zjazd do zajezdni Franowo przez przystanek: Kórnicka, Os. Lecha^G - zjazd do zajezdni Głogowska przez przystanek: Poznań Główny, Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka PKM) przez przystanek: Kórnicka, Rondo Rataje, Rondo Starołęka|GÓRCZYN PKM - Matyi - Towarowa - Święty Marcin - Aleje Marcinkowskiego - Podgórna - pl. Bernardyński - Mostowa - Kórnicka - Jana Pawła II - Podwale - ZAWADY^F - zjazd do zajezdni Franowo przez przystanek: Kórnicka, Os. Lecha^G - zjazd do zajezdni Głogowska^H - zjazd do zajezdni Forteczna (Starołęka PKM) przez przystanek: Głogowska/Hetmańska, Traugutta, Rondo Starołęka^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,6CC24A,000000
6,2,"6","MIŁOSTOWO - BUDZISZYŃSKA|BUDZISZYŃSKA - MIŁOSTOWO","MIŁOSTOWO - Warszawska - Jana Pawła II - Krzywoustego - Strzelecka - Aleje Marcinkowskiego - 27 Grudnia - Gwarna - Święty Marcin - Towarowa - Matyi - Roosevelta - Bukowska - Grunwaldzka - BUDZISZYŃSKA^F - zjazd do zajezdni Franowo przez przystanek: Kórnicka, Os. Lecha^J - kurs wydłużony do pętli Junikowo^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka PKM) przez przystanek: Rondo Rataje, Rondo Starołęka|BUDZISZYŃSKA - Bukowska - Roosevelta - Matyi - Towarowa - Święty Marcin - Aleje Marcinkowskiego - Strzelecka - Królowej Jadwigi - Krzywoustego - Jana Pawła II - Warszawska - MIŁOSTOWO^F - zjazd do zajezdni Franowo przez przystanek: Rondo Rataje, Kórnicka, Os. Lecha^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka PKM) przez przystanek: Rondo Rataje, Rondo Starołęka",0,009639,FFFFFF
7,2,"7","ZAWADY - OGRODY|OGRODY - ZAWADY","ZAWADY - Podwale - Jana Pawła II - Zamenhofa - Hetmańska - Reymonta - Przybyszewskiego - Dąbrowskiego - OGRODY^F - zjazd do zajezdni Franowo przez przystanek: Kórnicka, Os. Lecha^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Starołęka, Traugutta^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka PKM) przez przystanek: Rondo Starołęka|OGRODY - Przybyszewskiego - Reymonta - Hetmańska - Zamenhofa - Jana Pawła II - Podwale - ZAWADY^F - zjazd do zajezdni Franowo przez przystanek: Rondo Starołęka, Rondo Rataje, Kórnicka, Os. Lecha^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Nowaka-Jeziorańskiego^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka PKM) przez przystanek: Rondo Starołęka",0,003594,FFFFFF
8,2,"8","OGRODY - MIŁOSTOWO|MIŁOSTOWO - OGRODY","OGRODY - Dąbrowskiego - Kraszewskiego - Zwierzyniecka - Święty Marcin - Aleje Marcinkowskiego - Podgórna - pl. Bernardyński - Mostowa - Kórnicka - Jana Pawła II - Warszawska - MIŁOSTOWO^F - zjazd do zajezdni Franowo przez przystanek: Kórnicka, Os. Lecha^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Kaponiera, Poznań Główny, Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka PKM) przez przystanek: Kórnicka, Rondo Rataje, Rondo Starołęka|MIŁOSTOWO - Jana Pawła II - Kórnicka - Mostowa - pl. Bernardyński - Podgórna - Aleje Marcinkowskiego - 27 Grudnia - Gwarna - Święty Marcin - Zwierzyniecka - Kraszewskiego - Dąbrowskiego - OGRODY^F - zjazd do zajezdni Franowo przez przystanek: Kórnicka, Os. Lecha^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka PKM) przez przystanek: Kórnicka, Rondo Rataje, Rondo Starołęka",0,DA291C,FFFFFF
