stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id
1219,"SOBI02","Sobiesława",52.4053544600,17.0227539200,A
420,"KRES02","Kresowa",52.4686397100,16.9474248100,A
2560,"MGMOD01","M. Goślina/Modrzewiowa",52.5664568900,17.0025375100,C
1162,"SMNA01","Smolna",52.4235503300,16.9651920800,A
1654,"MILO02","Miłostowo",52.4105284700,17.0042454800,A
742,"OSTR02","Ostroroga",52.4003292800,16.8818442500,A
355,"SUCH02","Sucholeska",52.4623384300,16.8688846200,A
3831,"FONA01","Folwarczna",52.3886700000,17.0093500000,A
487,"SERB01","Serbska",52.4324932200,16.9466084200,A
2778,"GDKWI01","Gądki/Kwiatowa",52.3133286399,17.0456217964,B
2160,"CZSTA01","Czapury/Stacja Energetyczna",52.3309863000,16.9109873900,B
2564,"MGCME02","M. Goślina/Cmentarz",52.5712143600,17.0078878300,C
2374,"PTCED02","Potasze/Cedrowa",52.5221500000,17.0168403000,C
1880,"NAPAR01","Napachanie/Park",52.4863940000,16.7282120000,B
2270,"KYBRZ01","Kliny/Brzozowa",52.4895432400,17.0596249800,C
4443,"TPSEZ02","Tarnowo Pdg/Sezamkowa",52.4730571253,16.6511668845,C
494,"POLA03","Połabska",52.4361636300,16.9308478800,A
1890,"RTJOD01","Rostworowo/Jodłowa",52.5248661000,16.7502724200,B
2397,"SDPOL01","Swarzędz/Polna",52.4084140000,17.0841950000,B
1564,"KOZAK01","Komorniki/Zakładowa Wirenka",52.3352858900,16.8083921300,B
41,"KMIE71","Kmieca",52.4263321700,16.9384827300,A
1177,"JANZ01","Janikowska ",52.4321270000,17.0027201500,A
601,"LUPO02","Łupowska",52.4352823800,16.8301995000,A
1391,"STAR30","Starołęka PKM",52.3661320000,16.9301820000,A
1161,"CHEM02","Chemiczna",52.4272314800,16.9667300600,A
1313,"DAPIO01","Daszewice/Piotrowska",52.2993912300,16.9580540800,B
1852,"RKSZK02","Rokietnica/Szkoła",52.5098583400,16.7401864200,B
1889,"RTJOD02","Rostworowo/Jodłowa",52.5246939200,16.7500714500,B
2431,"SBCHM02","Sarbinowo/I (Chmielna)",52.4193430000,17.1554820000,C
2420,"JSTUL01","Jasin/Tulipanowa",52.4094130000,17.1062430000,B
3680,"PRSOS01","Promnice/Sosnowa",52.5446193700,16.9658866800,C
29,"SZYM42","Szymanowskiego",52.4603710300,16.9169382500,A
1646,"PANZ01","Porzeczkowa",52.3616272900,17.0155978600,A
4171,"KOTUL02","Komorniki/Tulipanowa",52.3480100000,16.8142300000,B
146,"LOMZ42","Łomżyńska",52.4096310300,16.9851960400,A
3055,"KXTEL02","Koninko/Telewizyjna",52.3088511343,17.0209619080,B
